ID_Recommandation,Code_Norme,Categorie,Titre,Description,Obligation_Clef,Pays_Vises,Niveau_Risque,Lien_Officiel
R1,R.1,Fondements,Évaluation des risques et approche fondée sur les risques,"Les pays doivent identifier, évaluer et comprendre les risques de BC/FT. Toutes les institutions doivent appliquer une approche fondée sur les risques.",Cartographier les risques BC/FT à l'échelle nationale et institutionnelle,Tous,Élevé,https://www.fatf-gafi.org/fr/recommandations.html
R5,R.5,Vigilance clientèle,Vigilance clientèle (CDD/KYC),"Identification, vérification d'identité, compréhension de la relation d'affaires pour tout client ou bénéficiaire effectif.","Collecter et vérifier : identité, bénéficiaire effectif, nature de la relation, surveillance continue",Tous,Critique,https://www.fatf-gafi.org/fr/recommandations.html
R6,R.6,Vigilance clientèle,Mesures de vigilance renforcée pour les PEP,"Appliquer des mesures EDD (Enhanced Due Diligence) pour les Personnes Politiquement Exposées, leurs proches et associés.","Identification PEP, approbation senior, surveillance renforcée, origine des fonds",Tous,Critique,https://www.fatf-gafi.org/fr/recommandations.html
R10,R.10,Vigilance clientèle,Conservation des enregistrements,"Conserver pendant 5 ans minimum les données KYC, les pièces justificatives et les enregistrements de transactions.","Registre des transactions, données d'identification, disponibilité pour autorités",Tous,Élevé,https://www.fatf-gafi.org/fr/recommandations.html
R13,R.13,Déclaration,Déclaration des transactions suspectes,"Les institutions doivent déclarer à la CRF nationale toute transaction suspecte de BC ou FT, sans délai et sans prévenir le client.","Déclaration spontanée à la CRF, non-divulgation au client, sans seuil",Tous,Critique,https://www.fatf-gafi.org/fr/recommandations.html
R14,R.14,Virements,Virements électroniques,Toutes les informations sur le donneur d'ordre et le bénéficiaire doivent accompagner les virements électroniques (règle du voyage).,"Nom, numéro de compte, adresse du donneur d'ordre, idem bénéficiaire",Banques & MTA,Critique,https://www.fatf-gafi.org/fr/recommandations.html
R15,R.15,Technologies,Nouvelles technologies,"Évaluer les risques de BC/FT liés aux nouveaux produits, services, et canaux de distribution (crypto, e-money) avant leur lancement.","Évaluation de risques pré-lancement, mesures d'atténuation",Tous,Élevé,https://www.fatf-gafi.org/fr/recommandations.html
R16,R.16,Virements,Virements de fonds transfrontaliers,Extension de la règle du voyage aux intermédiaires. Obligations spécifiques pour les prestataires de services de paiement.,Traçabilité complète de la chaîne de paiement,Banques & Fintech,Critique,https://www.fatf-gafi.org/fr/recommandations.html
R20,R.20,Déclaration,Signalement des activités suspectes,"Obligation de déclarer immédiatement tout soupçon, quelle que soit la nationalité ou la localisation du client.",Procédure interne de détection et de remontée des alertes,Tous,Élevé,https://www.fatf-gafi.org/fr/recommandations.html
R26,R.26,Supervision,Réglementation et supervision des IFIs,Régulation et surveillance des institutions financières par une autorité compétente pour assurer leur conformité LCB-FT.,"Licence, inspections, sanctions pour non-conformité",Régulateurs,Élevé,https://www.fatf-gafi.org/fr/recommandations.html
R29,R.29,Pouvoirs,Pouvoirs des superviseurs,"Les superviseurs doivent avoir les pouvoirs d'inspecter, surveiller et sanctionner. Accès à toutes les informations pertinentes.","Inspections sur place et sur pièces, sanctions administratives et pénales",Régulateurs,Moyen,https://www.fatf-gafi.org/fr/recommandations.html
R30,R.30,Enquêtes,Responsabilités des autorités d'enquête,"Attribuer clairement les responsabilités entre les différentes autorités (CRF, police, parquet) pour la lutte contre BC/FT.","CRF opérationnelle, coordination interinstitutionnelle",Gouvernements,Moyen,https://www.fatf-gafi.org/fr/recommandations.html
R36,R.36,Coopération,Instruments internationaux,"Ratification et mise en œuvre des conventions internationales (Vienne, Palerme, Mérida, CFT).",Intégration dans la législation nationale,Gouvernements,Élevé,https://www.fatf-gafi.org/fr/recommandations.html
R37,R.37,Coopération,Entraide judiciaire (MLA),"Répondre aux demandes d'entraide judiciaire en matière de BC, de FT et des infractions sous-jacentes.","Traités MLA, désignation d'une autorité centrale",Gouvernements,Moyen,https://www.fatf-gafi.org/fr/recommandations.html
R40,R.40,Coopération,Autres formes de coopération internationale,"Partage d'informations entre CRF nationales (réseau Egmont), coopération entre superviseurs bancaires.","Accords d'échange d'informations, réseau Egmont",Régulateurs,Moyen,https://www.fatf-gafi.org/fr/recommandations.html
