ID_Programme,Code_Programme,Type_Sanction,Pays_Region_Vise,Description,Criteres_Gel,Entites_Ciblees,Niveau_Impact_MTA,Autorite_Gestion
OFAC001,SDN,Gel d'avoirs individuel,Global,Specially Designated Nationals : gel total des avoirs et interdiction de transactions pour les personnes désignées,"Désignation OFAC sur liste SDN publiée, gel immédiat et signalement obligatoire","Individus, entités, navires, aéronefs",Critique,U.S. Department of the Treasury / OFAC
OFAC002,SSI,Sanctions secondaires,Russie / Biélorussie,"Sectoral Sanctions Identifications : restrictions sectorielles sur la dette, les actions et les services financiers",Exposition au secteur sanctionné même sans désignation SDN directe,"Entreprises des secteurs pétrolier, défense, finance russe",Élevé,U.S. Department of the Treasury / OFAC
OFAC003,CUBA,Embargo complet,Cuba,"Embargo commercial, économique et financier total sur Cuba. Restrictions sévères sur les transferts de fonds.",Toute transaction financière avec Cuba sans licence OFAC spécifique,"Toutes entités cubaines, gouvernement, armée",Critique,U.S. Department of the Treasury / OFAC
OFAC004,IRAN,Sanctions multisectorielles,Iran,"Programme de sanctions globales contre l'Iran couvrant le nucléaire, la défense, le pétrole et le secteur financier.","Transactions en USD, virements via banques américaines, financement de projets","Banque centrale iranienne, institutions financières, IRGC",Critique,U.S. Department of the Treasury / OFAC
OFAC005,DPRK,Sanctions maximales,Corée du Nord,"Sanctions les plus sévères imposées : gel total, interdiction d'exportation, prolifération nucléaire.","Toute relation financière directe ou indirecte, y compris via pays tiers","Gouvernement DPRK, entités liées au régime, travailleurs à l'étranger",Critique,U.S. Department of the Treasury / OFAC
OFAC006,VENEZUELA,Sanctions ciblées,Venezuela,"Sanctions ciblant des individus du gouvernement Maduro, interdiction de certaines dettes et transactions pétrolières.","Gel des avoirs des désignés, interdiction de nouvelles dettes publiques","Individus gouvernementaux, PDVSA",Élevé,U.S. Department of the Treasury / OFAC
OFAC007,HAITI,Surveillance renforcée,Haïti,"Désignations individuelles de membres de gangs, de trafiquants et de politiques corrompus liés à la violence.","Gel des avoirs des personnes désignées, interdiction de transactions","Chefs de gangs, politiques, trafiquants haïtiens désignés",Élevé,U.S. Department of the Treasury / OFAC
OFAC008,NARCOTRAF,Kingpin Act,Global - Caraïbes & Amérique Latine,Sanctions sous le Foreign Narcotics Kingpin Designation Act contre les narcotrafiquants et leurs réseaux financiers.,"Gel de tous avoirs américains, interdiction de transactions pour toute personne américaine","Cartels, réseaux de blanchiment, personnalités désignées",Critique,U.S. Department of the Treasury / OFAC
OFAC009,UKRAINE,Sanctions Russie-Ukraine,Russie / Ukraine,Sanctions liées à l'agression russe contre l'Ukraine. Inclut entités financières russes et individus.,"Gel des avoirs, interdiction d'accès au système financier US","Oligarques russes, banques russes sanctionnées, entités biélorusses",Élevé,U.S. Department of the Treasury / OFAC
OFAC010,CYBER,Cyber sanctions,Global,Sanctions contre les acteurs de cyberattaques malveillantes visant des infrastructures critiques américaines.,"Désignation SDN pour cyberactivités malveillantes, gel d'avoirs","Hackers d'État, groupes ransomware, intermédiaires financiers",Moyen,U.S. Department of the Treasury / OFAC
